item_id,batch_number_bs1,score_bs1,batch_number_bs2,score_bs2,batch_number_bs5,score_bs5,batch_number_bs10,score_bs10,batch_number_bs20,score_bs20,batch_number_bs25,score_bs25,batch_number_bs50,score_bs50,batch_number_bs100,score_bs100
397,43,1.0,22,1.0,9,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0
1471,44,1.0,22,1.0,9,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0
1409,45,1.0,23,1.0,9,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0
2473,46,1.0,23,1.0,10,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0
1084,47,1.0,24,1.0,10,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0
178,48,1.0,24,1.0,10,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0
1882,49,1.0,25,1.0,10,1.0,5,1.0,3,1.0,2,1.0,1,0.0,1,1.0
2197,50,1.0,25,1.0,10,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0
512,51,1.0,26,1.0,11,0.0,6,0.0,3,1.0,3,1.0,2,1.0,1,0.0
1551,52,1.0,26,1.0,11,1.0,6,1.0,3,1.0,3,1.0,2,1.0,1,1.0
323,53,1.0,27,1.0,11,0.0,6,0.0,3,1.0,3,1.0,2,1.0,1,1.0
2262,54,1.0,27,1.0,11,1.0,6,1.0,3,1.0,3,1.0,2,1.0,1,1.0
1201,55,0.0,28,0.0,11,0.0,6,0.0,3,0.0,3,0.0,2,0.0,1,0.0
2575,56,1.0,28,1.0,12,1.0,6,1.0,3,1.0,3,1.0,2,1.0,1,1.0
2534,57,0.0,29,0.0,12,0.0,6,0.0,3,0.0,3,0.0,2,0.0,1,0.0
1482,58,1.0,29,1.0,12,1.0,6,1.0,3,1.0,3,1.0,2,1.0,1,1.0
2365,59,0.0,30,0.0,12,0.0,6,0.0,3,0.0,3,0.0,2,0.0,1,0.0
788,60,0.0,30,0.0,12,0.0,6,0.0,3,0.0,3,0.0,2,0.0,1,0.0
285,61,0.0,31,0.0,13,0.0,7,0.0,4,1.0,3,0.0,2,0.0,1,0.0
188,62,0.0,31,0.0,13,0.0,7,0.0,4,0.0,3,0.0,2,0.0,1,0.0
2709,63,1.0,32,1.0,13,1.0,7,1.0,4,1.0,3,1.0,2,1.0,1,1.0
934,64,1.0,32,1.0,13,1.0,7,1.0,4,1.0,3,1.0,2,1.0,1,1.0
1186,65,1.0,33,1.0,13,1.0,7,1.0,4,1.0,3,1.0,2,1.0,1,1.0
327,66,0.0,33,0.0,14,0.0,7,0.0,4,0.0,3,0.0,2,0.0,1,0.0
954,67,0.0,34,0.0,14,0.0,7,0.0,4,0.0,3,0.0,2,0.0,1,0.0
414,68,1.0,34,1.0,14,1.0,7,1.0,4,1.0,3,1.0,2,0.0,1,0.0
1858,69,1.0,35,1.0,14,1.0,7,0.0,4,1.0,3,1.0,2,0.0,1,0.0
2604,70,1.0,35,0.0,14,1.0,7,0.0,4,1.0,3,1.0,2,0.0,1,0.0
1495,71,1.0,36,1.0,15,1.0,8,1.0,4,1.0,3,1.0,2,1.0,1,1.0
667,72,0.0,36,1.0,15,0.0,8,0.0,4,1.0,3,0.0,2,0.0,1,0.0
1517,73,0.0,37,0.0,15,0.0,8,0.0,4,0.0,3,0.0,2,0.0,1,0.0
1456,74,0.0,37,0.0,15,0.0,8,0.0,4,0.0,3,0.0,2,0.0,1,0.0
859,75,1.0,38,1.0,15,1.0,8,1.0,4,1.0,3,1.0,2,1.0,1,1.0
2746,76,1.0,38,1.0,16,1.0,8,0.0,4,0.0,4,0.0,2,1.0,1,1.0
1094,77,1.0,39,1.0,16,1.0,8,1.0,4,1.0,4,1.0,2,1.0,1,1.0
2800,78,1.0,39,1.0,16,1.0,8,1.0,4,1.0,4,0.0,2,0.0,1,0.0
2655,79,1.0,40,0.0,16,1.0,8,1.0,4,1.0,4,0.0,2,0.0,1,0.0
293,80,1.0,40,0.0,16,0.0,8,0.0,4,0.0,4,0.0,2,1.0,1,1.0
2496,81,1.0,41,1.0,17,1.0,9,1.0,5,1.0,4,1.0,2,1.0,1,1.0
2601,82,1.0,41,1.0,17,1.0,9,1.0,5,1.0,4,1.0,2,1.0,1,1.0
701,83,1.0,42,1.0,17,1.0,9,1.0,5,1.0,4,1.0,2,1.0,1,1.0
2188,84,0.0,42,0.0,17,0.0,9,0.0,5,0.0,4,0.0,2,0.0,1,0.0
1003,85,1.0,43,1.0,17,1.0,9,1.0,5,1.0,4,1.0,2,1.0,1,1.0
670,86,0.0,43,0.0,18,0.0,9,0.0,5,0.0,4,0.0,2,0.0,1,0.0
1894,87,1.0,44,1.0,18,1.0,9,1.0,5,1.0,4,0.0,2,1.0,1,0.0
1555,88,1.0,44,1.0,18,1.0,9,1.0,5,1.0,4,1.0,2,1.0,1,1.0
1106,89,1.0,45,1.0,18,1.0,9,1.0,5,1.0,4,1.0,2,1.0,1,1.0
2622,90,1.0,45,1.0,18,1.0,9,1.0,5,1.0,4,0.0,2,0.0,1,0.0
2819,91,1.0,46,1.0,19,1.0,10,1.0,5,1.0,4,1.0,2,1.0,1,1.0
2282,92,1.0,46,1.0,19,1.0,10,1.0,5,1.0,4,1.0,2,1.0,1,1.0
900,93,0.0,47,0.0,19,1.0,10,0.0,5,0.0,4,0.0,2,0.0,1,0.0
2805,94,0.0,47,0.0,19,0.0,10,0.0,5,0.0,4,0.0,2,0.0,1,0.0
1329,95,0.0,48,0.0,19,0.0,10,0.0,5,0.0,4,0.0,2,0.0,1,0.0
230,96,0.0,48,0.0,20,0.0,10,0.0,5,0.0,4,0.0,2,0.0,1,0.0
939,97,0.0,49,0.0,20,0.0,10,0.0,5,0.0,4,0.0,2,0.0,1,0.0
132,98,1.0,49,1.0,20,0.0,10,1.0,5,0.0,4,1.0,2,1.0,1,1.0
1293,99,0.0,50,0.0,20,0.0,10,1.0,5,1.0,4,0.0,2,1.0,1,0.0
1644,100,1.0,50,1.0,20,1.0,10,1.0,5,1.0,4,1.0,2,1.0,1,1.0
